entity_id,state,last_changed
sensor.te_0904_temperature,26.93,2026-01-19T13:52:10.882Z
sensor.te_0904_temperature,26.86,2026-01-19T13:52:10.916Z
sensor.te_0904_temperature,26.91,2026-01-19T13:52:15.089Z
sensor.te_0904_temperature,26.9,2026-01-19T13:52:16.504Z
sensor.te_0904_temperature,26.85,2026-01-19T13:52:17.374Z
sensor.te_0904_temperature,26.91,2026-01-19T13:52:18.360Z
sensor.te_0904_temperature,26.88,2026-01-19T13:52:20.656Z
sensor.te_0904_temperature,26.84,2026-01-19T13:52:21.636Z
sensor.te_0904_temperature,26.9,2026-01-19T13:52:22.573Z
sensor.te_0904_temperature,26.92,2026-01-19T13:52:28.194Z
sensor.te_0904_temperature,26.89,2026-01-19T13:52:29.039Z
sensor.te_0904_temperature,26.9,2026-01-19T13:52:30.455Z
sensor.te_0904_temperature,26.86,2026-01-19T13:52:31.458Z
sensor.te_0904_temperature,26.89,2026-01-19T13:52:37.958Z
sensor.te_0904_temperature,26.88,2026-01-19T13:52:38.935Z
sensor.te_0904_temperature,26.87,2026-01-19T13:52:39.814Z
sensor.te_0904_temperature,26.88,2026-01-19T13:52:43.083Z
sensor.te_0904_temperature,26.86,2026-01-19T13:52:48.773Z
sensor.te_0904_temperature,26.9,2026-01-19T13:52:53.913Z
sensor.te_0904_temperature,26.83,2026-01-19T13:52:54.756Z
sensor.te_0904_temperature,26.91,2026-01-19T13:52:56.167Z
sensor.te_0904_temperature,26.88,2026-01-19T13:52:57.169Z
sensor.te_0904_temperature,26.83,2026-01-19T13:53:00.471Z
sensor.te_0904_temperature,26.91,2026-01-19T13:53:01.312Z
sensor.te_0904_temperature,26.83,2026-01-19T13:53:02.281Z
sensor.te_0904_temperature,26.85,2026-01-19T13:53:04.641Z
sensor.te_0904_temperature,26.84,2026-01-19T13:53:06.401Z
sensor.te_0904_temperature,26.92,2026-01-19T13:53:07.420Z
sensor.te_0904_temperature,26.86,2026-01-19T13:53:09.770Z
sensor.te_0904_temperature,26.93,2026-01-19T13:53:13.898Z
sensor.te_0904_temperature,26.85,2026-01-19T13:53:15.313Z
sensor.te_0904_temperature,26.84,2026-01-19T13:53:19.599Z
sensor.te_0904_temperature,26.9,2026-01-19T13:53:22.816Z
sensor.te_0904_temperature,26.83,2026-01-19T13:53:23.700Z
sensor.te_0904_temperature,26.85,2026-01-19T13:53:24.721Z
sensor.te_0904_temperature,26.82,2026-01-19T13:53:26.095Z
sensor.te_0904_temperature,26.87,2026-01-19T13:53:27.074Z
sensor.te_0904_temperature,26.84,2026-01-19T13:53:31.776Z
sensor.te_0904_temperature,26.83,2026-01-19T13:53:32.622Z
sensor.te_0904_temperature,26.85,2026-01-19T13:53:33.632Z
sensor.te_0904_temperature,26.78,2026-01-19T13:53:36.915Z
sensor.te_0904_temperature,26.81,2026-01-19T13:53:39.260Z
sensor.te_0904_temperature,26.86,2026-01-19T13:53:40.169Z
sensor.te_0904_temperature,26.83,2026-01-19T13:53:43.366Z
sensor.te_0904_temperature,26.79,2026-01-19T13:53:44.375Z
sensor.te_0904_temperature,26.8,2026-01-19T13:53:45.750Z
sensor.te_0904_temperature,26.88,2026-01-19T13:53:50.001Z
sensor.te_0904_temperature,26.84,2026-01-19T13:53:52.293Z
sensor.te_0904_temperature,26.83,2026-01-19T13:54:01.672Z
sensor.te_0904_temperature,26.87,2026-01-19T13:54:03.114Z
sensor.te_0904_temperature,26.89,2026-01-19T13:54:03.938Z
sensor.te_0904_temperature,26.84,2026-01-19T13:54:06.327Z
sensor.te_0904_temperature,26.78,2026-01-19T13:54:07.321Z
sensor.te_0904_temperature,26.77,2026-01-19T13:54:09.661Z
sensor.te_0904_temperature,26.8,2026-01-19T13:54:10.578Z
sensor.te_0904_temperature,26.83,2026-01-19T13:54:11.451Z
sensor.te_0904_temperature,26.78,2026-01-19T13:54:13.389Z
sensor.te_0904_temperature,26.81,2026-01-19T13:54:14.804Z
sensor.te_0904_temperature,26.8,2026-01-19T13:54:19.905Z
sensor.te_0904_temperature,26.85,2026-01-19T13:54:20.839Z
sensor.te_0904_temperature,26.83,2026-01-19T13:54:23.186Z
sensor.te_0904_temperature,26.8,2026-01-19T13:54:24.146Z
sensor.te_0904_temperature,26.81,2026-01-19T13:54:28.816Z
sensor.te_0904_temperature,26.8,2026-01-19T13:54:32.945Z
sensor.te_0904_temperature,26.83,2026-01-19T13:54:33.958Z
sensor.te_0904_temperature,26.81,2026-01-19T13:54:35.389Z
sensor.te_0904_temperature,26.79,2026-01-19T13:54:40.429Z
sensor.te_0904_temperature,26.85,2026-01-19T13:54:41.825Z
sensor.te_0904_temperature,26.79,2026-01-19T13:54:42.840Z
sensor.te_0904_temperature,26.76,2026-01-19T13:54:43.800Z
sensor.te_0904_temperature,26.83,2026-01-19T13:54:46.059Z
sensor.te_0904_temperature,26.74,2026-01-19T13:54:48.489Z
sensor.te_0904_temperature,26.8,2026-01-19T13:54:49.321Z
sensor.te_0904_temperature,26.84,2026-01-19T13:54:50.314Z
sensor.te_0904_temperature,26.82,2026-01-19T13:54:51.765Z
sensor.te_0904_temperature,26.74,2026-01-19T13:54:52.585Z
sensor.te_0904_temperature,26.85,2026-01-19T13:54:58.226Z
sensor.te_0904_temperature,26.76,2026-01-19T13:54:59.224Z
sensor.te_0904_temperature,26.84,2026-01-19T13:55:00.139Z
sensor.te_0904_temperature,26.83,2026-01-19T13:55:01.489Z
sensor.te_0904_temperature,26.85,2026-01-19T13:55:05.784Z
sensor.te_0904_temperature,26.78,2026-01-19T13:55:09.063Z
sensor.te_0904_temperature,26.82,2026-01-19T13:55:09.902Z
sensor.te_0904_temperature,26.86,2026-01-19T13:55:12.447Z
sensor.te_0904_temperature,26.82,2026-01-19T13:55:17.889Z
sensor.te_0904_temperature,26.85,2026-01-19T13:55:18.910Z
sensor.te_0904_temperature,26.78,2026-01-19T13:55:22.167Z
sensor.te_0904_temperature,26.84,2026-01-19T13:55:23.091Z
sensor.te_0904_temperature,26.8,2026-01-19T13:55:27.800Z
sensor.te_0904_temperature,26.85,2026-01-19T13:55:37.624Z
sensor.te_0904_temperature,26.87,2026-01-19T13:55:38.488Z
sensor.te_0904_temperature,26.78,2026-01-19T13:55:39.472Z
sensor.te_0904_temperature,26.83,2026-01-19T13:55:41.746Z
sensor.te_0904_temperature,26.79,2026-01-19T13:55:42.766Z
sensor.te_0904_temperature,26.8,2026-01-19T13:55:44.184Z
sensor.te_0904_temperature,26.81,2026-01-19T13:55:49.706Z
sensor.te_0904_temperature,26.82,2026-01-19T13:55:50.678Z
sensor.te_0904_temperature,26.77,2026-01-19T13:55:51.677Z
sensor.te_0904_temperature,26.78,2026-01-19T13:55:53.941Z
sensor.te_0904_temperature,26.81,2026-01-19T13:55:54.936Z
sensor.te_0904_temperature,26.79,2026-01-19T13:55:55.803Z
sensor.te_0904_temperature,26.8,2026-01-19T13:55:57.647Z
sensor.te_0904_temperature,26.79,2026-01-19T13:55:57.651Z
sensor.te_0904_temperature,26.8,2026-01-19T13:55:58.223Z
sensor.te_0904_temperature,26.78,2026-01-19T13:56:01.503Z
